亚,亜
常,常
情,情
条,条
净,浄
状,状
叠,畳
蒸,蒸
让,譲
酿,醸
锭,錠
嘱,嘱
饰,飾
植,植
殖,殖
织,織
职,職
色,色
触,触
食,食
辱,辱
伸,伸
信,信
侵,侵
唇,唇
娠,娠
寝,寝
审,審
心,心
慎,慎
振,振
新,新
森,森
浸,浸
深,深
申,申
真,真
神,神
绅,紳
臣,臣
薪,薪
亲,親
诊,診
身,身
辛,辛
进,進
针,針
震,震
人,人
仁,仁
刃,刃
寻,尋
甚,甚
尽,尽
迅,迅
阵,陣
酢,酢
图,図
吹,吹
垂,垂
帅,帥
推,推
水,水
炊,炊
睡,睡
粹,粋
衰,衰
遂,遂
醉,酔
锤,錘
随,随
髓,髄
崇,崇
数,数
枢,枢
据,拠
杉,杉
澄,澄
寸,寸
世,世
濑,瀬
亩,畝
是,是
制,制
势,勢
姓,姓
征,征
性,性
成,成
政,政
整,整
星,星
晴,晴
正,正
清,清
牲,牲
生,生
盛,盛
精,精
圣,聖
声,声
製,製
西,西
诚,誠
誓,誓
请,請
逝,逝
青,青
静,静
齐,斉
税,税
只,隻
席,席
惜,惜
斥,斥
昔,昔
析,析
石,石
积,積
籍,籍
绩,績
责,責
赤,赤
迹,跡
切,切
拙,拙
接,接
摄,摂
折,折
设,設
窃,窃
节,節
说,説
雪,雪
绝,絶
舌,舌
仙,仙
先,先
千,千
占,占
宣,宣
专,専
川,川
战,戦
扇,扇
栓,栓
泉,泉
浅,浅
洗,洗
染,染
潜,潜
旋,旋
线,線
纤,繊
船,船
荐,薦
践,践
选,選
迁,遷
钱,銭
铣,銑
鲜,鮮
前,前
善,善
渐,漸
然,然
全,全
禅,禅
缮,繕
塑,塑
措,措
疏,疎
础,礎
祖,祖
租,租
粗,粗
素,素
组,組
诉,訴
阻,阻
僧,僧
创,創
双,双
仓,倉
丧,喪
壮,壮
奏,奏
层,層
想,想
搜,捜
扫,掃
插,挿
操,操
早,早
曹,曹
巢,巣
槽,槽
燥,燥
争,争
相,相
窗,窓
总,総
草,草
庄,荘
葬,葬
藻,藻
装,装
走,走
送,送
遭,遭
霜,霜
骚,騒
像,像
增,増
憎,憎
脏,臓
藏,蔵
赠,贈
造,造
促,促
侧,側
则,則
即,即
息,息
束,束
测,測
足,足
速,速
俗,俗
属,属
贼,賊
族,族
续,続
卒,卒
存,存
孙,孫
尊,尊
损,損
村,村
他,他
多,多
太,太
堕,堕
妥,妥
惰,惰
打,打
驮,駄
体,体
对,対
耐,耐
带,帯
待,待
怠,怠
态,態
替,替
泰,泰
滞,滞
胎,胎
袋,袋
贷,貸
退,退
逮,逮
队,隊
代,代
台,台
大,大
第,第
题,題
泷,滝
卓,卓
宅,宅
择,択
拓,拓
泽,沢
濯,濯
托,託
浊,濁
诺,諾
但,但
达,達
夺,奪
脱,脱
棚,棚
谷,穀
丹,丹
单,単
叹,嘆
担,担
探,探
淡,淡
炭,炭
短,短
端,端
胆,胆
诞,誕
锻,鍛
团,団
坛,壇
弹,弾
断,断
暖,暖
段,段
男,男
谈,談
值,値
知,知
地,地
耻,恥
池,池
痴,痴
稚,稚
置,置
致,致
迟,遅
筑,築
畜,畜
竹,竹
蓄,蓄
逐,逐
秩,秩
窒,窒
茶,茶
嫡,嫡
着,着
中,中
仲,仲
宙,宙
忠,忠
抽,抽
昼,昼
柱,柱
注,注
虫,虫
衷,衷
铸,鋳
驻,駐
着,着
贮,貯
丁,丁
兆,兆
帐,帳
厅,庁
吊,弔
张,張
雕,彫
徵,徴
惩,懲
挑,挑
朝,朝
潮,潮
町,町
眺,眺
听,聴
胀,脹
肠,腸
调,調
超,超
跳,跳
长,長
顶,頂
鸟,鳥
敕,勅
直,直
朕,朕
沈,沈
珍,珍
赁,賃
镇,鎮
陈,陳
津,津
坠,墜
追,追
痛,痛
通,通
冢,塚
渍,漬
坪,坪
钓,釣
亭,亭
低,低
停,停
侦,偵
贞,貞
呈,呈
堤,堤
定,定
帝,帝
底,底
庭,庭
廷,廷
弟,弟
抵,抵
提,提
程,程
缔,締
艇,艇
订,訂
递,逓
邸,邸
泥,泥
摘,摘
敌,敵
滴,滴
的,的
笛,笛
适,適
哲,哲
彻,徹
撤,撤
迭,迭
铁,鉄
典,典
